id,user_id,title,issue_id,is_active,created_at,updated_at
1,7,Issue #1 Discussion,1,false,2022-03-10 08:56:16.000000+00,2022-03-10 10:54:16.000000+00
2,2,Issue #2 Discussion,2,true,2022-08-21 17:18:15.000000+00,2022-08-21 19:14:15.000000+00
3,6,Issue #3 Discussion,3,true,2023-04-27 18:37:56.000000+00,2023-04-27 19:50:56.000000+00
4,2,Issue #4 Discussion,4,true,2023-09-24 15:14:54.000000+00,2023-09-24 15:58:54.000000+00
5,2,Issue #5 Discussion,5,true,2022-07-15 13:51:03.000000+00,2022-07-15 14:43:03.000000+00
6,3,Issue #7 Discussion,7,false,2024-10-03 12:33:09.000000+00,2024-10-03 13:04:09.000000+00
7,10,Issue #9 Discussion,9,false,2025-01-31 15:27:47.000000+00,2025-01-31 15:45:47.000000+00
8,4,Issue #11 Discussion,11,false,2025-05-10 18:45:21.000000+00,2025-05-10 19:52:21.000000+00
9,5,Issue #14 Discussion,14,true,2025-07-16 18:58:21.000000+00,2025-07-16 20:46:21.000000+00
10,1,Issue #16 Discussion,16,true,2025-01-09 17:21:46.000000+00,2025-01-09 17:57:46.000000+00
11,10,Issue #17 Discussion,17,true,2024-09-07 15:50:08.000000+00,2024-09-07 16:26:08.000000+00
12,8,Issue #18 Discussion,18,true,2025-11-27 07:02:55.000000+00,2025-11-27 08:19:55.000000+00
13,1,Issue #21 Discussion,21,true,2024-09-16 07:45:16.000000+00,2024-09-16 09:40:16.000000+00
14,1,Issue #22 Discussion,22,false,2025-10-02 11:58:23.000000+00,2025-10-02 13:28:23.000000+00
15,5,Issue #25 Discussion,25,false,2023-01-09 13:39:26.000000+00,2023-01-09 14:03:26.000000+00
16,10,Issue #26 Discussion,26,true,2022-03-08 14:00:30.000000+00,2022-03-08 14:15:30.000000+00
17,4,Issue #28 Discussion,28,false,2023-07-16 18:02:52.000000+00,2023-07-16 19:32:52.000000+00
18,6,Issue #30 Discussion,30,false,2022-06-18 15:40:48.000000+00,2022-06-18 16:06:48.000000+00
19,7,Issue #32 Discussion,32,false,2024-11-02 08:24:37.000000+00,2024-11-02 09:49:37.000000+00
20,2,Issue #33 Discussion,33,false,2022-06-09 16:32:44.000000+00,2022-06-09 17:09:44.000000+00
21,8,Issue #34 Discussion,34,true,2023-03-26 11:16:01.000000+00,2023-03-26 11:46:01.000000+00
22,6,Issue #35 Discussion,35,true,2026-01-04 17:46:51.000000+00,2026-01-04 18:02:51.000000+00
23,9,Issue #36 Discussion,36,true,2025-10-13 11:15:50.000000+00,2025-10-13 11:27:50.000000+00
24,7,Issue #37 Discussion,37,true,2023-04-03 17:09:19.000000+00,2023-04-03 18:10:19.000000+00
25,10,Issue #38 Discussion,38,false,2025-07-27 15:32:08.000000+00,2025-07-27 17:09:08.000000+00
26,3,Issue #39 Discussion,39,true,2024-08-24 16:45:09.000000+00,2024-08-24 18:12:09.000000+00
27,5,Issue #40 Discussion,40,true,2025-03-09 16:55:14.000000+00,2025-03-09 18:50:14.000000+00
28,5,Issue #44 Discussion,44,false,2024-11-09 22:48:32.000000+00,2024-11-09 23:11:32.000000+00
29,9,Issue #45 Discussion,45,false,2022-10-26 07:58:13.000000+00,2022-10-26 08:27:13.000000+00
30,7,Issue #49 Discussion,49,false,2022-03-28 12:51:18.000000+00,2022-03-28 13:49:18.000000+00
31,9,Issue #50 Discussion,50,true,2025-09-16 16:32:26.000000+00,2025-09-16 18:04:26.000000+00
32,10,Issue #51 Discussion,51,true,2024-07-19 10:31:45.000000+00,2024-07-19 10:51:45.000000+00
33,8,Issue #52 Discussion,52,true,2022-01-31 10:33:55.000000+00,2022-01-31 12:00:55.000000+00
34,6,Issue #54 Discussion,54,true,2025-12-26 14:15:45.000000+00,2025-12-26 14:39:45.000000+00
35,4,Issue #56 Discussion,56,false,2024-03-08 09:51:11.000000+00,2024-03-08 10:45:11.000000+00
36,4,Issue #57 Discussion,57,false,2022-12-06 19:29:18.000000+00,2022-12-06 20:53:18.000000+00
37,5,Issue #58 Discussion,58,false,2025-09-04 16:10:52.000000+00,2025-09-04 17:51:52.000000+00
38,3,Issue #60 Discussion,60,true,2022-01-22 18:36:42.000000+00,2022-01-22 19:00:42.000000+00
39,1,Issue #62 Discussion,62,true,2025-07-01 10:03:32.000000+00,2025-07-01 11:50:32.000000+00
40,6,Issue #63 Discussion,63,false,2023-11-30 12:30:57.000000+00,2023-11-30 13:11:57.000000+00
41,8,Issue #64 Discussion,64,false,2025-12-11 05:34:42.000000+00,2025-12-11 06:31:42.000000+00
42,10,Issue #69 Discussion,69,true,2025-08-14 09:16:44.000000+00,2025-08-14 09:50:44.000000+00
43,5,Issue #70 Discussion,70,false,2024-10-04 17:53:54.000000+00,2024-10-04 18:12:54.000000+00
44,1,Issue #72 Discussion,72,false,2023-09-16 15:39:34.000000+00,2023-09-16 16:03:34.000000+00
45,2,Issue #75 Discussion,75,true,2024-11-24 15:06:11.000000+00,2024-11-24 16:48:11.000000+00
46,4,Issue #76 Discussion,76,false,2025-02-04 18:59:36.000000+00,2025-02-04 20:03:36.000000+00
47,7,Issue #77 Discussion,77,false,2023-08-05 11:08:33.000000+00,2023-08-05 12:02:33.000000+00
48,5,Issue #78 Discussion,78,false,2024-09-18 10:48:34.000000+00,2024-09-18 11:23:34.000000+00
49,9,Issue #80 Discussion,80,false,2024-04-08 01:59:51.000000+00,2024-04-08 03:19:51.000000+00
50,1,Issue #81 Discussion,81,false,2026-01-09 12:11:33.000000+00,2026-01-09 13:29:33.000000+00
51,4,Issue #82 Discussion,82,true,2025-01-08 13:49:41.000000+00,2025-01-08 14:17:41.000000+00
52,7,Issue #83 Discussion,83,true,2024-01-28 17:25:23.000000+00,2024-01-28 19:07:23.000000+00
53,4,Issue #85 Discussion,85,false,2023-01-02 08:38:53.000000+00,2023-01-02 09:21:53.000000+00
